,title,authors,paper,presentation,best,theme
0,Why Controllers Seldom Stick to the Book and How Their Commands are Predictable Nevertheless,Michael Hössl,/icrat/seminarContent/Author/MichaelHossl888/559-cfp-Hossl.pdf,,,"Decision support systems, automation and human machine collaboration"
1,Evaluating the efficiency of market liberalisation in the field of air navigation support services,Nikolina Mileva,/icrat/seminarContent/Author/NikolinaMileva135/549-cfp-Mileva.pdf,/icrat/seminarContent/Author/NikolinaMileva135/PRESENTATION-550-cfp-Mileva.pdf,,"Air transportation governance, economics and policy"
2,Optimization of ATM Scenarios Considering Overall and Single Costs,Matthias Bittner,/icrat/seminarContent/Author/MatthiasBittner556/550-cfp-Bittner.pdf,/icrat/seminarContent/Author/MatthiasBittner556/PRESENTATION-551-cfp-Bittner.pdf,,Trajectory optimization and trajectory and separation management
3,Machine Learning Model for Aircraft Performances,Marko Hrastovec,/icrat/seminarContent/Author/MarkoHrastovec488/558-cfp-Hrastovec.pdf,,,Trajectory optimization and trajectory and separation management
4,Airport apron roundabout intersection - operational concept and capacity evaluation,Bojana Mirkovic,/icrat/seminarContent/Author/BojanaMirkovic44/552-cfp-Mirkovic.pdf,/icrat/seminarContent/Author/BojanaMirkovic44/PRESENTATION-553-cfp-Mirkovic.pdf,,"Airport design, management and operations"
5,Classification of Air Traffic Controller Utterance Transcripts via Warm-Start Non-Negative Matrix Factorization,Marco Enriquez,/icrat/seminarContent/Author/MarcoEnriquez115/553-cfp-Enriquez.pdf,/icrat/seminarContent/Author/MarcoEnriquez115/PRESENTATION-554-cfp-Enriquez.pdf,*,Automation strategies and application of successful automation techniques
6,Pricing techniques for the European airspace,Desiree Rigonat,/icrat/seminarContent/Author/DesireeRigonat972/571-cfp-Rigonat.pdf,/icrat/seminarContent/Author/DesireeRigonat972/PRESENTATION-572-cfp-Rigonat.pdf,,"Air transportation governance, economics and policy"
7,Tradable Mobility Permits for the Strategic Allocation of Air Traffic,Luca Corolli,/icrat/seminarContent/Author/LucaCorolli447/572-cfp-Corolli.pdf,,,"Network management, and traffic flow optimization"
8,Interactions between Operations and Planning in Air Traffic Control,Thibault Lehouillier,/icrat/seminarContent/Author/ThibaultLehouillier571/573-cfp-Lehouillier.pdf,/icrat/seminarContent/Author/ThibaultLehouillier571/PRESENTATION-575-cfp-Lehouillier.pdf,,"Network management, and traffic flow optimization"
9,A traceable automatic flight state evaluation,Lutz Bretschneider,/icrat/seminarContent/Author/LutzBretschneider792/575-cfp-Bretschneider.pdf,,,Advanced Modeling and design
10,SO6C: Compressed Trajectories in Air Traffic Management,Sebastian Wandelt,/icrat/seminarContent/Author/SebastianWandelt280/576-cfp-Wandelt.pdf,/icrat/seminarContent/Author/SebastianWandelt280/PRESENTATION-577-cfp-Wandelt.pdf,*,"Information management, enhanced communication, surveillance and navigation"
11,Quantification of Incident Probabilities Using Physical and Statistical Approaches,Chong Wang,/icrat/seminarContent/Author/ChongWang55/577-cfp-Wang.pdf,/icrat/seminarContent/Author/ChongWang55/PRESENTATION-578-cfp-Wang.pdf,,"Safety, security and human performance"
12,Analysis of Wind-Shear Effects on Optimal Aircraft Cruise,Damian Rivas,/icrat/seminarContent/Author/DamianRivas157/580-cfp-Rivas.pdf,,,Trajectory optimization and trajectory and separation management
13,Automatic Collision Avoidance System based on Geometric Approach applied to Multiple Aircraft,Paulo Machado,/icrat/seminarContent/Author/PauloMachado725/581-cfp-Machado.pdf,/icrat/seminarContent/Author/PauloMachado725/PRESENTATION-582-cfp-Machado.pdf,,Automation strategies and application of successful automation techniques
14,Agent-based safety risk analysis of Trajectory Based Operation in the Terminal Manoevring Area,Rachel Teuwen,/icrat/seminarContent/Author/RachelTeuwen899/595-cfp-Teuwen.pdf,,,"Decision support systems, automation and human machine collaboration"
15,Quantifying Trajectory Uncertainty Using a Sensitivity-Based Complexity Metric Component,Leif Walter,/icrat/seminarContent/Author/LeifWalter626/585-cfp-Walter.pdf,,,"Network management, and traffic flow optimization"
16,Relationship between Workload and Duration of ATC Voice Communications,Natalia Rodríguez Uclés,/icrat/seminarContent/Author/NataliaRodriguez Ucles997/586-cfp-Rodriguez Ucles.pdf,,,Air transportation system performance measurement and management
17,A Study on Trajectory Optimization for the Terminal Area,Daichi Toratani,/icrat/seminarContent/Author/DaichiToratani339/587-cfp-Toratani.pdf,/icrat/seminarContent/Author/DaichiToratani339/PRESENTATION-588-cfp-Toratani.pdf,,Trajectory optimization and trajectory and separation management
18,Analysis of Time and Cost Benefits of Hybrid Dynamic Gate Assignment for Aircraft Taxi Movements and Gate allocation,Orhan GÜÇLÜ,/icrat/seminarContent/Author/OrhanGUCLU849/588-cfp-GUCLU.pdf,,,"Decision support systems, automation and human machine collaboration"
19,Predicting the future location of a General Aviation aircraft,Joram Verstraeten,/icrat/seminarContent/Author/JoramVerstraeten940/590-cfp-Verstraeten.pdf,/icrat/seminarContent/Author/JoramVerstraeten940/PRESENTATION-591-cfp-Verstraeten.pdf,*,Trajectory optimization and trajectory and separation management
20,Total Sytem Error Performance During Precision Approaches,Robert Geister,/icrat/seminarContent/Author/RobertGeister961/591-cfp-Geister.pdf,/icrat/seminarContent/Author/RobertGeister961/PRESENTATION-592-cfp-Geister.pdf,,"Information management, enhanced communication, surveillance and navigation"
21,Evaluation Analysis of Seasonal GPV Meteorological Data with SSR Mode S Surveillance Data,Sadanari Shigetomi,/icrat/seminarContent/Author/SadanariShigetomi878/592-cfp-Shigetomi.pdf,,,"Environment and energy efficiency, climate change and impact"
22,RPAS Swarms in Disaster Management Missions,Julia Zillies,/icrat/seminarContent/Author/JuliaZillies486/593-cfp-Zillies.pdf,/icrat/seminarContent/Author/JuliaZillies486/PRESENTATION-594-cfp-Zillies.pdf,,"Decision support systems, automation and human machine collaboration"
23,Topological Properties of the Air Navigation Route System using Complex Network Theory,xiaoqian Sun,/icrat/seminarContent/Author/xiaoqianSun543/594-cfp-Sun.pdf,/icrat/seminarContent/Author/xiaoqianSun543/PRESENTATION-595-cfp-Sun.pdf,*,Air transportation system performance measurement and management
24,An Algorithm for TMA Entrance Point Multiplicity,Fulya Aybek,/icrat/seminarContent/Author/FulyaAybek578/596-cfp-Aybek.pdf,/icrat/seminarContent/Author/FulyaAybek578/PRESENTATION-597-cfp-Aybek.pdf,,Advanced Modeling and design
25,Feasibility of traffic prognosis for an Airport Operation Centre,Anne Papenfuss,/icrat/seminarContent/Author/AnnePapenfuss141/597-cfp-Papenfuss.pdf,,,"Decision support systems, automation and human machine collaboration"
26,Conflict free trajectory optimisation for complex departure procedures,Santi Vilardaga,/icrat/seminarContent/Author/SantiVilardaga13/598-cfp-Vilardaga.pdf,/icrat/seminarContent/Author/SantiVilardaga13/PRESENTATION-599-cfp-Vilardaga.pdf,,Trajectory optimization and trajectory and separation management
27,Optimization of Arrival and Departure Routes in Terminal Maneuvering Area,Jun ZHOU,/icrat/seminarContent/Author/JunZHOU907/599-cfp-ZHOU.pdf,/icrat/seminarContent/Author/JunZHOU907/PRESENTATION-600-cfp-ZHOU.pdf,,Advanced Modeling and design
28,The DORATHEA Methodology for ATM Security Risk Assessment,André Rocha,/icrat/seminarContent/Author/AndreRocha380/600-cfp-Rocha.pdf,/icrat/seminarContent/Author/AndreRocha380/PRESENTATION-601-cfp-Rocha.pdf,,"Safety, security and human performance"
29,How much fuel can be saved in a perfect flight?,Ramon Codina,/icrat/seminarContent/Author/RamonCodina737/601-cfp-Codina.pdf,/icrat/seminarContent/Author/RamonCodina737/PRESENTATION-602-cfp-Codina.pdf,*,"Environment and energy efficiency, climate change and impact"
30,Determining the Risk of Experiencing Severe Turbulence when Flying through an Exhaust Plume,David Gouldey,/icrat/seminarContent/Author/DavidGouldey101/602-cfp-Gouldey.pdf,,,"Safety, security and human performance"
31,Comparison of Two Ground-based Mass Estimation Methods on Real Data,Richard Alligier,/icrat/seminarContent/Author/RichardAlligier274/603-cfp-Alligier.pdf,/icrat/seminarContent/Author/RichardAlligier274/PRESENTATION-604-cfp-Alligier.pdf,,Advanced Modeling and design
32,Airspace Network Characterization for Effect of Intermediate Waypoints on Collision Risk Assesmnet,Sameer Alam,/icrat/seminarContent/Author/SameerAlam591/604-cfp-Alam.pdf,,*,Advanced Modeling and design
